row,text,true_label,pred_label,top_words_pushing_positive_score,top_words_pushing_negative_score
41, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,negative,"travel (0.4349), always (0.0345), something (-0.1041), at (-0.1845), when (-0.3961), am (-0.4365), forget (-0.4406), am at (-1.3569)","airport (-1.6082), am at (-1.3569), forget (-0.4406), am (-0.4365), when (-0.3961), at (-0.1845), something (-0.1041), always (0.0345)"
61,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,negative,"okay (0.6115), xo (0.5891), so its (0.2526), it (-0.0008), it so (-0.1041), its (-0.1303), so (-0.2404), not_you (-0.5096)","dang (-1.6082), its not (-1.1688), not (-1.1138), not_are (-0.6149), not_you (-0.5096), so (-0.2404), its (-0.1303), it so (-0.1041)"
64,at starbucks with my love. eff school. i have work later too.,neutral,positive,"love (2.8358), my love (0.5891), with my (0.4778), starbucks (0.4067), with (0.2947), later (0.1142), have (-0.0103), too (-0.0225)","work (-0.5527), school (-0.4500), my (-0.4006), have work (-0.3918), at (-0.1845), too (-0.0225), have (-0.0103), later (0.1142)"
67,Terminator Salvation... by myself.,neutral,negative,"by (0.0605), by myself (-0.5096), myself (-0.5875), terminator (-1.3569)","terminator (-1.3569), myself (-0.5875), by myself (-0.5096), by (0.0605)"
68," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,neutral,"up to (1.1280), ya (1.0309), the (0.1167), not_u (0.0589), to (-0.0285), on (-0.1106), on the (-0.1753), him (-0.1920)","not (-1.1138), not_what (-0.7547), wanna (-0.7067), up (-0.3582), him (-0.1920), on the (-0.1753), on (-0.1106), to (-0.0285)"
72, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,negative,"night (0.6763), last night (-0.0069), on (-0.1106), last (-0.1474), is (-0.2590), think (-0.2740), on my (-0.2929), my (-0.8011)","bad (-2.2705), broke (-1.9949), my bad (-1.8959), toe (-1.7135), broke my (-1.6082), foot (-1.2027), tgif (-0.9514), my (-0.8011)"
77,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,neutral,"ways (0.9945), the (0.1167), and (-0.0341), in the (-0.0477), in (-0.1240), they (-0.2328), my (-0.4006), heart (-1.0849)","heart (-1.0849), my (-0.4006), they (-0.2328), in (-0.1240), in the (-0.0477), and (-0.0341), the (0.1167), ways (0.9945)"
78," yep, i wish they were all playing dubiln",positive,neutral,"wish (0.6095), they were (0.5891), all (0.3795), playing (0.2213), were (0.0501), yep (-0.1041), they (-0.2328)","they (-0.2328), yep (-0.1041), were (0.0501), playing (0.2213), all (0.3795), they were (0.5891), wish (0.6095)"
90,The underwire in my bra is sticking out and poking me in the armpit,negative,neutral,"the (0.2334), out and (0.0013), and (-0.0341), in the (-0.0477), out (-0.1064), in (-0.2481), is (-0.2590), me (-0.3680)","me in (-0.9514), in my (-0.6149), my (-0.4006), me (-0.3680), is (-0.2590), in (-0.2481), out (-0.1064), in the (-0.0477)"
95,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,positive,"so excited (2.6367), excited (2.2254), excited to (2.0931), day (1.2487), day and (0.6983), bought (0.6580), and it was (0.5891), it was (0.4272)","terrible (-3.1951), not (-1.1138), other day (-0.6919), and not (-0.6149), to eat (-0.4406), other (-0.4406), eat (-0.4257), and it (-0.3346)"
99, haaaw..well i get out of class at 10:50..i hope i make it,positive,neutral,"hope (1.9251), make (0.0669), make it (0.0051), it (-0.0008), of (-0.0084), get out of (-0.1041), out (-0.1064), at (-0.1845)","class (-1.4034), out of (-0.6746), get (-0.2752), get out (-0.2219), at (-0.1845), out (-0.1064), get out of (-0.1041), of (-0.0084)"
105, I want to see David cook!!,positive,neutral,"david (1.4000), to see (0.5966), see (0.3958), cook (0.0013), to (-0.0285), want to see (-0.5096), want (-0.6023), want to (-0.8182)","want to (-0.8182), want (-0.6023), want to see (-0.5096), to (-0.0285), cook (0.0013), see (0.3958), to see (0.5966), david (1.4000)"
113, yay about breaking 200!,positive,neutral,"yay (1.9827), about (-0.2748), breaking (-1.0596)","breaking (-1.0596), about (-0.2748), yay (1.9827)"
120,"Playin City of Villains, wishin my buddies were playin with me.....",positive,neutral,"with (0.2947), city (0.2144), were (0.0501), of (-0.0084), me (-0.3680), my (-0.4006), with me (-0.5561)","with me (-0.5561), my (-0.4006), me (-0.3680), of (-0.0084), were (0.0501), city (0.2144), with (0.2947)"
121," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,negative,"good (2.1048), the (0.2334), three (0.1323), and the (0.0535), things (0.0013), of (-0.0084), to (-0.0285), and (-0.0341)","haircut (-1.8959), ability (-1.2027), seriously (-1.1688), not (-1.1138), ability to (-0.7972), listen (-0.1731), not_too (-0.1686), to listen (-0.1041)"
125,man im so sad school is ending  but then again high school might be better :O,neutral,negative,"better (1.2074), might be (0.8514), be better (0.5891), might (0.3739), then (0.3593), be (0.1406), so (-0.2404), is (-0.2590)","so sad (-4.3236), sad (-4.2578), im so sad (-2.7432), man im (-1.7135), school is (-1.4904), im so (-1.0561), school (-0.9001), high (-0.7633)"
134,"just got home from a nice party, just not tired yet",positive,neutral,"nice (2.6130), got home from (0.8514), got home (0.8122), not_tired (0.5891), just got home (0.5378), party (0.5224), home from (0.3422), from (0.1567)","not (-1.1138), just not (-0.6431), just (-0.2905), not_yet (-0.2582), got (-0.1530), home (-0.0778), just got (-0.0568), from (0.1567)"
138,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,negative,"fancy (1.0999), boy (0.5891), the boy (0.5891), so its (0.2526), the (0.2334), of the (0.0452), of (-0.0084), ive (-0.0864)","not_him (-1.8959), doesnt feel (-1.7135), not_worth (-1.7135), he doesnt (-1.3081), its not (-1.1688), not (-1.1138), doesnt (-1.0669), feel (-1.0589)"
140,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,neutral,"im sitting (0.5891), is taking (0.4067), ok (0.2803), room (0.0926), guy (0.0782), by (0.0605), and (-0.0341), in (-0.1240)","ok so (-1.2027), eye (-0.7972), jerk (-0.7972), sitting in (-0.7102), cold (-0.6214), im (-0.5963), and im (-0.5261), so this (-0.5096)"
143, why would they take a photo with stuffed animals?! that`s pretty funny,positive,neutral,"funny (2.1760), pretty (1.4079), would (0.5790), with (0.2947), thats (0.2726), take (-0.0751), photo (-0.1041), they (-0.2328)","stuffed (-1.7135), why would (-1.4904), why (-1.1318), animals (-0.5096), they (-0.2328), photo (-0.1041), take (-0.0751), thats (0.2726)"
144,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,negative,"update (0.2324), tweetdeck (0.1472), memory (0.1190), the (0.1167), it (-0.0008), on (-0.1106), maybe (-0.1441), just (-0.1452)","strange (-1.2027), or (-0.6080), it just (-0.5837), is it (-0.5459), is (-0.5180), acting (-0.3272), another (-0.1831), on the (-0.1753)"
145,tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,positive,neutral,"are (0.2078), to (-0.0285), so (-0.2404), go (-0.3944), to go (-0.4192), only (-0.5551), want (-0.6023), are only (-0.7972)","want to go (-1.2672), want to (-0.8182), are only (-0.7972), want (-0.6023), only (-0.5551), to go (-0.4192), go (-0.3944), so (-0.2404)"
151,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",positive,neutral,"good (2.1048), football (0.7432), with (0.2947), an (0.1789), soccer (0.1190), the (0.1167), hours of (0.0013), of (-0.0168)","bit of (-1.2027), nap (-0.9026), hours (-0.6360), bit (-0.5741), hour (-0.4608), in (-0.1240), little (-0.1154), little bit (-0.1041)"
152,just set up a new computer again. 15min. I love Norton Ghost.,positive,neutral,"love (2.8358), ghost (0.5891), new (0.5181), set up (0.4067), set (-0.0553), just (-0.1452), again (-0.2650), up (-0.3582)","computer (-1.4904), min (-1.3569), up (-0.3582), again (-0.2650), just (-0.1452), set (-0.0553), set up (0.4067), new (0.5181)"
153,Ahhh my mommie got me new sheets for my bed  so comfy,positive,neutral,"comfy (1.2822), new (0.5181), ahhh (0.4837), for (0.3537), for my (0.1371), bed (0.0799), my bed (-0.1041), got (-0.1530)","got me (-1.2027), my (-0.8011), me (-0.3680), so (-0.2404), got (-0.1530), my bed (-0.1041), bed (0.0799), for my (0.1371)"
154,_celeste  finally some sleep in silence,neutral,positive,"some sleep (0.9945), finally (0.8944), some (0.3712), silence (0.1836), sleep in (0.0137), in (-0.1240), sleep (-0.4825)","sleep (-0.4825), in (-0.1240), sleep in (0.0137), silence (0.1836), some (0.3712), finally (0.8944), some sleep (0.9945)"
155,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,positive,"thank (3.5972), thank god (2.0931), bank holiday (1.8769), holiday (1.5053), bank (0.9945), god (0.4697), im just (-0.0300), and (-0.0341)","im (-1.1927), im so (-1.0561), lazy (-0.7972), up and (-0.4026), up (-0.3582), and its (-0.2712), its (-0.2606), so (-0.2404)"
157,i have to poop...   is hogging the shitter,negative,neutral,"the (0.1167), have (-0.0103), to (-0.0285), is (-0.2590), have to (-0.6293), poop (-0.7972)","poop (-0.7972), have to (-0.6293), is (-0.2590), to (-0.0285), have (-0.0103), the (0.1167)"
160,Hahaha! Alright  ..,positive,neutral,"hahaha (1.0139), alright (0.9255)","alright (0.9255), hahaha (1.0139)"
165,Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,neutral,positive,"th (1.1314), june th (0.9945), concert (0.8767), live (0.5747), to watch (0.5020), and got (0.4265), an (0.1789), watch (0.1312)","got an (-0.5096), listened to (-0.4406), listened (-0.3918), got (-0.1530), just (-0.1452), in (-0.1240), on (-0.1106), to (-0.0570)"
174,Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative,neutral,"fun (2.2131), all the (1.0323), all (0.3795), twitter (0.3197), the fun (0.3014), the (0.1167), even (-0.5051), has (-0.5787)","slow (-1.3081), couldnt (-0.9940), properly (-0.9514), has (-0.5787), even (-0.5051), the (0.1167), the fun (0.3014), twitter (0.3197)"
175,_chick haha. I completely agree,positive,neutral,"haha (1.0146), agree (0.8767), chick (-0.4406), completely (-0.6347)","completely (-0.6347), chick (-0.4406), agree (0.8767), haha (1.0146)"
176,"If we don`t pack, she can`t leave, right?",neutral,negative,"we (0.2782), if we (0.0782), if (0.0727), she (-0.1418), right (-0.1485), we dont (-0.3272), dont (-0.7802), leave (-0.8773)","cant leave (-1.4904), pack (-1.1157), cant (-0.8780), leave (-0.8773), dont (-0.7802), we dont (-0.3272), right (-0.1485), she (-0.1418)"
179," many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative,neutral,"better (1.2074), haha (1.0146), then (0.3593), many (0.3546), so many (0.2324), mine (0.0584), back (-0.0189), have (-0.0205)","missed (-2.5020), have missed (-1.7135), so (-0.2404), known (-0.1041), have (-0.0205), back (-0.0189), mine (0.0584), so many (0.2324)"
180,it`s nice to leave the office when the sun is still up,positive,neutral,"nice to (3.6571), its nice (2.7863), nice (2.6130), the sun is (0.3479), sun is (0.3014), still up (0.3014), the (0.2334), to (-0.0285)","leave the (-1.7135), to leave (-1.2027), office (-0.9209), leave (-0.8773), the office (-0.7972), when the (-0.7972), still (-0.5799), when (-0.3961)"
182," between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral,negative,"funny (2.1760), your (0.7582), you (0.6912), and you (0.6761), you always (0.5891), the (0.2334), are (0.2078), always (0.0345)","killing me (-2.9945), killing (-2.4555), toe (-1.7135), hungry (-1.6082), between (-1.0191), spider (-0.7972), being (-0.5538), me (-0.3680)"
185, --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral,negative,"came to (1.1487), to my (0.6322), it and (0.3267), came (0.1472), it has (0.0966), it (-0.0015), to (-0.0285), and (-0.0341)","into my (-1.4034), my mind (-1.3850), my (-0.8011), has (-0.5787), mind (-0.4269), been (-0.4103), and it (-0.3346), now (-0.3313)"
186,looking forward to body works today,neutral,positive,"looking forward to (1.9543), forward to (1.8769), looking forward (1.8620), forward (1.4074), looking (0.9393), works (0.4265), to (-0.0285), today (-0.0295)","body (-0.5096), today (-0.0295), to (-0.0285), works (0.4265), looking (0.9393), forward (1.4074), looking forward (1.8620), forward to (1.8769)"
187,just watched yes man. bahaha. that movie is messed up,negative,neutral,"movie is (1.1487), movie (0.9185), watched (0.9014), bahaha (0.8767), yes (0.8075), just watched (0.7714), that movie (0.7432), just (-0.1452)","messed up (-2.8767), messed (-2.3554), up (-0.3582), man (-0.2910), that (-0.2860), is (-0.2590), just (-0.1452), that movie (0.7432)"
188, Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative,neutral,"you (0.6912), two (0.4114), those (0.3629), years (0.2636), put (0.1295), the (0.1167), were (0.0501), than (0.0195)","sadly (-3.1721), less (-1.2027), less than (-0.6149), know exactly (-0.5096), exactly (-0.2864), think (-0.2740), life (-0.1380), know (-0.1278)"
190,Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,neutral,positive,"morning to (2.6040), hope you (2.4436), best (1.9482), hope (1.9251), better soon (1.9108), morning (1.3138), better (1.2074), you will (1.0999)","shocked (-2.0500), am still (-1.8088), omg (-0.6807), still (-0.5799), to the gym (-0.4406), am (-0.4365), my (-0.4006), gym (-0.3272)"
191,Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative,neutral,"wow (0.9852), wow that (0.5891), that was (0.4740), was (0.1479), that (-0.2860), up (-0.3582), or (-0.6080), lost (-1.8456)","lost (-1.8456), or (-0.6080), up (-0.3582), that (-0.2860), was (0.1479), that was (0.4740), wow that (0.5891), wow (0.9852)"
193, glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive,neutral,"glad to (3.0314), glad (2.9404), ad (1.6877), yr (1.2309), to know (0.6431), display (0.3014), was (0.1479), the (0.1167)","problem (-2.0782), due to (-1.7905), due (-1.2980), phew (-1.0204), office (-0.9209), that the (-0.7972), know that (-0.5561), that (-0.2860)"
194, woot!,positive,neutral,woot (1.9753),woot (1.9753)
200,St joe is dirty.,negative,neutral,"joe (0.2324), st (0.1410), is (-0.2590), dirty (-1.2027)","dirty (-1.2027), is (-0.2590), st (0.1410), joe (0.2324)"
205, ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative,neutral,"you (1.3824), all (0.3795), going on (0.3659), call you (0.2324), id (0.1768), tell (0.1035), gotta (0.1018), you but (0.0137)","broke (-1.9949), lost (-1.8456), lost all (-1.7135), broke my (-1.6082), my phone (-1.1767), blackberry (-1.1337), phone (-1.0328), my (-0.8011)"
214,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,negative,neutral,"love the (3.3136), love (2.8358), episode (1.3622), action (0.8767), live (0.5747), watching (0.4284), could (0.2944), the (0.2334)","not_enough (-1.5510), not (-1.1138), blood (-0.9796), but not (-0.9514), am (-0.4365), but (-0.3928), on (-0.1106), watch the (-0.1041)"
216, He is the truth! But what about Maxwell? You can`t forget the future father of my children!,neutral,negative,"the truth (0.7432), you (0.6912), future (0.6497), truth (0.5891), the (0.2334), father (0.2324), is the (0.2280), the future (0.1190)","cant (-0.8780), what about (-0.6919), forget (-0.4406), my (-0.4006), but (-0.3928), children (-0.3048), about (-0.2748), you cant (-0.2712)"
217,http://twitpic.com/665jw The racoons ate our bread!,negative,neutral,"the (0.1167), our (-0.0149), bread (-0.5096), ate (-0.5096)","ate (-0.5096), bread (-0.5096), our (-0.0149), the (0.1167)"
219,"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral,negative,"glad (2.9404), not_the not_only (0.5891), not not_the not_only (0.5891), hes (0.2675), baby (0.2001), not_only (0.1836), were (0.0501), our (-0.0149)","not_coming (-1.7135), not_one (-1.5594), im (-1.1927), not_back (-1.1157), not (-1.1138), hell (-1.0669), im not (-0.8999), not_the (-0.8370)"
221,  it`s very pleasant. i sooo rarely just have time to kill...,positive,negative,"just have (0.4555), time to (0.2879), very (0.2789), time (0.1696), sooo (0.0650), have (-0.0103), to (-0.0285), have time to (-0.1041)","kill (-2.0500), to kill (-2.0500), have time (-0.6149), its very (-0.3272), just (-0.1452), its (-0.1303), have time to (-0.1041), to (-0.0285)"
225,"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",negative,positive,"was good (3.2281), good (2.1048), it was good (1.8418), good and (1.6877), yours (1.5053), bought (0.6580), cream (0.4424), it was (0.4272)","sucked (-2.0500), cheesecake (-1.0204), last week (-0.6149), im (-0.5963), and it (-0.3346), so (-0.2404), taking (-0.1708), last (-0.1474)"
230," I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",positive,neutral,"best (1.9482), day (1.2487), not_doubt (0.8122), soon (0.7348), few (0.6283), works (0.4265), going on (0.3659), should (0.1891)","that should (-1.8959), no (-1.0068), my (-0.4006), do (-0.2955), that (-0.2860), so (-0.2404), going (-0.1941), on (-0.1106)"
232,_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,positive,neutral,"good luck (3.4369), luck (2.1760), good (2.1048), you (0.6912), get back (0.3014), you when (0.2324), be (0.1406), if (0.0727)","not_ill (-1.2027), not (-1.1138), not_see (-1.0849), if not (-0.5096), when (-0.3961), not_then (-0.3918), be at (-0.3272), get (-0.2752)"
234,Spent the last hour signing yearbooks. I`ll miss you guys!,negative,neutral,"you (0.6912), you guys (0.6106), signing (0.5891), guys (0.5710), spent the (0.3014), spent (0.2754), ill (0.1222), the (0.1167)","miss (-2.2323), miss you (-2.0165), ill miss (-0.6637), hour (-0.4608), last (-0.1474), the last (0.1110), the (0.1167), ill (0.1222)"
241,"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",neutral,positive,"mothers day (3.7063), mothers (3.6320), mama (1.5664), day (1.2487), im sure (1.1952), yo (1.1781), ur (0.7298), you (0.6912)","why do (-1.9367), why do you (-1.3569), why (-1.1318), wanna (-0.7067), im (-0.5963), even (-0.5051), listen to (-0.3918), people (-0.3657)"
243, i did i only got 3 stars on the pre wash then failed the rince,negative,neutral,"pre (0.9945), then (0.3593), the (0.2334), wash (0.1836), did (0.0106), stars (-0.1041), on (-0.1106), got (-0.1530)","failed (-3.2822), only (-0.5551), on the (-0.1753), got (-0.1530), on (-0.1106), stars (-0.1041), did (0.0106), wash (0.1836)"
244,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive,neutral,"pretty (1.4079), around (0.7109), prom (0.5378), sister (0.4664), all (0.3795), for (0.3537), looked (0.3312), law (0.2324)","left for (-1.2027), left (-0.7327), my (-0.4006), soo (-0.1647), just (-0.1452), she (-0.1418), in (-0.1240), tears (-0.1041)"
251,Now I need to change my monitor,neutral,negative,"now need (0.4067), to (-0.0285), to change my (-0.1041), now (-0.3313), my (-0.4006), need to (-0.4381), need (-0.4737), now need to (-0.5096)","change my (-1.2027), monitor (-0.7972), change (-0.6919), to change (-0.6637), now need to (-0.5096), need (-0.4737), need to (-0.4381), my (-0.4006)"
254,should not have waled past the Quad! I want to be outside having fun.,positive,neutral,"fun (2.2131), having fun (1.7677), not not_have (0.3014), should (0.1891), be (0.1406), the (0.1167), want to be (0.0013), to (-0.0285)","not (-1.1138), want to (-0.8182), want (-0.6023), not_have (-0.4295), to be (-0.3326), outside (-0.2095), having (-0.0315), to (-0.0285)"
258,"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive,neutral,"social (0.7068), coffee (0.6522), new (0.5181), complete (0.4555), lots (0.3980), lots of (0.3188), site (0.1703), first (0.0294)","members (-0.3918), to (-0.0570), and (-0.0341), today (-0.0295), of (-0.0084), first (0.0294), site (0.1703), lots of (0.3188)"
259,Just wants to stay in bed all day but has to go to work instead  sux,negative,neutral,"day (1.2487), all (0.3795), day but (0.2324), bed (0.0799), stay (0.0185), instead (-0.0271), wants (-0.0326), to (-0.0855)","sux (-2.1190), all day (-0.8818), has to (-0.8662), go to work (-0.7401), go to (-0.5886), has (-0.5787), work (-0.5527), to go to (-0.4510)"
260,chillen trying to figure this thing out gettin drunk,positive,neutral,"trying to figure (0.5891), to figure (0.4837), drunk (0.1190), this thing (0.1190), to (-0.0285), out (-0.1064), thing (-0.1369), gettin (-0.2095)","trying to (-0.7972), trying (-0.7042), this (-0.2977), figure (-0.2472), gettin (-0.2095), thing (-0.1369), out (-0.1064), to (-0.0285)"
262,Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,positive,neutral,"video (1.0445), filming (0.8122), festival (0.8122), memories (0.5891), ahhh (0.4837), music (0.4480), for (0.3537), for my (0.1371)","used to (-0.6839), go to (-0.5886), used (-0.5561), to go to (-0.4510), reminds (-0.4406), to go (-0.4192), my (-0.4006), go (-0.3944)"
264, Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,positive,negative,"music (0.4480), for (0.3537), we (0.2782), back in (0.1323), got my (0.0137), back (-0.0189), and (-0.0341), just got (-0.0568)","for long (-1.0849), shape (-1.0204), been on (-0.9796), felt (-0.8579), my (-0.8011), has been (-0.7485), has (-0.5787), been (-0.4103)"
267,would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative,neutral,"would (1.1580), wish (0.6095), wish the (0.2324), the (0.1167), docs (-0.1041), working (-0.1924), arent (-0.7972), stop (-0.9026)","stop (-0.9026), arent (-0.7972), working (-0.1924), docs (-0.1041), the (0.1167), wish the (0.2324), wish (0.6095), would (1.1580)"
273,__joy i feel like red lea now,positive,negative,"joy (1.7417), like (-0.2178), now (-0.3313), red (-0.4406), feel (-1.0589), feel like (-2.1835)","feel like (-2.1835), feel (-1.0589), red (-0.4406), now (-0.3313), like (-0.2178), joy (1.7417)"
274, I`d love to but I think the trek from London would be a bit too much,neutral,positive,"love (2.8358), love to (2.7676), id love to (2.3808), id love (1.9753), trek (1.9108), would be (1.2822), would (0.5790), london (0.2754)","think the (-1.8088), too much (-1.0995), bit (-0.5741), but (-0.3928), but think (-0.3272), think (-0.2740), to but (-0.1041), to (-0.0285)"
276,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative,neutral,"the best (3.1617), best (1.9482), morning (1.3138), idea (0.7649), revising (0.5891), had (0.4030), the (0.2334), from (0.1567)","isnt (-1.1286), without (-1.1275), thinks (-1.0204), in the garden (-1.0204), from this (-0.7972), the garden (-0.3918), this (-0.2977), this morning (-0.1358)"
278, i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,positive,neutral,"but like (1.9753), germany (0.9255), know they (0.8122), as well (0.7322), well (0.3628), as (0.3203), we (0.2782), there (0.2234)","used to (-0.6839), used (-0.5561), but (-0.3928), as we (-0.3918), they (-0.2328), like (-0.2178), at (-0.1845), know (-0.1278)"
279," LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",positive,neutral,"cake (1.3230), for the (0.7926), lol (0.6755), true (0.6164), for (0.3537), very (0.2789), the (0.2334), was (0.1479)","what the (-2.0500), dont remember (-1.4904), maybe next (-0.7972), and dont (-0.7972), dont (-0.7802), next year (-0.6149), that (-0.2860), what (-0.2199)"
282, btw - downloaded iphone 3.0 sdk,neutral,positive,"downloaded (1.5053), btw (0.8514), iphone (-0.1506)","iphone (-0.1506), btw (0.8514), downloaded (1.5053)"
284," I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative,neutral,"my name (0.8122), name (0.6431), though (0.4272), work on (0.3814), the (0.2334), if im (0.1836), if (0.0727), to (-0.0570)","sad (-4.2578), change my (-1.2027), change (-0.6919), to change (-0.6637), im (-0.5963), work (-0.5527), thought (-0.5315), need (-0.4737)"
285," me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",neutral,negative,"laughs (1.5053), for (0.3537), oh (-0.1737), at (-0.1845), him (-0.1920), doctor (-0.2864), no not_i (-0.3048), now (-0.3313)","no no (-5.1780), no (-3.0205), no no no (-2.1835), oh no (-1.3003), not_i not_was (-1.0204), for him (-0.9514), not_i (-0.7074), work (-0.5527)"
