row,text,true_label,pred_label,top_words_pushing_positive_score,top_words_pushing_negative_score
144,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,negative,"Hum........ (0.0766), maybe. (0.0536), horizon? (0.0238), Or (0.0201), is (0.0199), reinstall (0.0174), another (0.0098), Update (0.0093)","strange! (-0.2127), acting (-0.0780), really (-0.0441), is (-0.0301), memory (-0.0166), on (-0.0084), leak (-0.0081), it (-0.0031)"
145,tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,positive,neutral,"WANT (0.0830), SO (0.0714), only (0.0309), TO (0.0238), I (0.0042), GO (-0.0091), are (-0.0306), tikcets (-0.0343)","Ã¯Â¿Â½91...each...BUT (-0.0906), tikcets (-0.0343), are (-0.0306), GO (-0.0091), I (0.0042), TO (0.0238), only (0.0309), SO (0.0714)"
147, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative,neutral,"believe (0.3106), it! (0.1568), him! (0.1145), Ryan`s (0.1091), I (0.1025), too. (0.0956), pre-k. (0.0935), SAHM (0.0819)","can`t (-0.3321), hot (-0.1485), It`s (-0.1012), been (-0.0036), last (0.0015), today (0.0040), had (0.0042), day (0.0290)"
177, ****  lol....where u headed to?,neutral,negative,"lol....where (-0.3913), u (-0.3996), headed (-0.4213), to? (-0.4669), **** (-0.6920)","**** (-0.6920), to? (-0.4669), headed (-0.4213), u (-0.3996), lol....where (-0.3913)"
179," many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative,neutral,"wldn`t (0.8651), better (0.1847), missed (0.1074), have (0.0836), haha (0.0827), then, (0.0606), many! (0.0519), included. (0.0489)","known (-0.1819), shld (-0.0698), back (-0.0292), many (-0.0174), have (-0.0116), opportunities (0.0159), ahem. (0.0168), so (0.0372)"
182," between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral,positive,"funny (1.0506), (LOL-Classic) (0.2294), 2 (0.1473), Pills, (0.0777), always (0.0764), between (0.0218), Garlic (0.0215), bite (0.0165)","killing (-0.3493), hungry. (-0.2287), U (-0.1952), me (-0.1263), are (-0.0836), being (-0.0776), toe (-0.0297), between (-0.0270)"
184,"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral,negative,"fave (0.2549), 4get (0.1204), your (0.1151), UK!!! (0.1094), **** (0.0986), time (0.0937), in (0.0817), tweets (0.0774)","Missed (-0.3606), Dont (-0.1610), **** (-0.0354), difference!!! (0.0120), your (0.0226), Joe, (0.0444), again (0.0460), (UK) (0.0510)"
191,Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative,neutral,"fast...next (0.4849), Wow (0.4579), was (0.1745), up (0.1258), Soderling (0.0841), Simon (0.0607), Gilles (0.0397), or (0.0309)","lost (-0.9512), Ferrer. (-0.1322), that (0.0108), or (0.0309), Gilles (0.0397), Simon (0.0607), Soderling (0.0841), up (0.1258)"
194, woot!,positive,neutral,woot! (0.1348),woot! (0.1348)
195,"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral,negative,"fun (0.5113), day.' (0.1353), sunday, (0.1180), jam (0.1160), when (0.1122), i (0.0952), wish (0.0944), was (0.0941)","don`t (-0.6157), miss (-0.6073), like (-0.2011), little. (-0.1801), my (-0.0900), 'I (-0.0510), i (-0.0228), it. (-0.0082)"
197,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral,positive,"yay! (0.5680), hand, (0.1147), lolly (0.0493), Past, (0.0272), screening (0.0252), wine (0.0224), and (0.0203), glass (0.0200)","then (-0.0597), bag (-0.0452), am (-0.0385), test (-0.0286), Ghost (-0.0236), last (-0.0161), Waiting (-0.0099), the (-0.0097)"
213,misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,positive,neutral,"Happy (0.4408), Best (0.1706), though (0.0974), was (0.0446), Mother`s (0.0304), Mom (0.0279), today. (0.0271), even (0.0265)","misses (-0.5896), miss (-0.5418), Friend (-0.0533), my (-0.0466), my (-0.0278), dearly. (-0.0277), gone (-0.0237), Day (-0.0165)"
214,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,negative,positive,"love (0.7996), old (0.1076), music.wishing (0.0604), the (0.0532), veoh (0.0259), I (0.0165), watching (0.0131), 19 (0.0095)","enough (-0.0960), but (-0.0634), not (-0.0587), i (-0.0525), on (-0.0154), watch (-0.0084), episode (-0.0083), the (-0.0053)"
217,http://twitpic.com/665jw The racoons ate our bread!,negative,neutral,"http://twitpic.com/665jw (0.0408), bread! (0.0117), The (-0.0044), racoons (-0.0293), our (-0.0673), ate (-0.1123)","ate (-0.1123), our (-0.0673), racoons (-0.0293), The (-0.0044), bread! (0.0117), http://twitpic.com/665jw (0.0408)"
219,"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral,negative,"Glad (0.4197), I`m (0.4047), only (0.3087), the (0.2028), not (0.1530), one. (0.1489), he`ll (0.1438), He`s (0.0682)","terrified (-0.8425), _in_a_story (-0.3318), back. (-0.0855), we`re (-0.0835), think (-0.0653), never (-0.0544), and (-0.0532), coming (-0.0239)"
225,"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",negative,neutral,"good, (0.4895), week, (0.2744), yours. (0.1086), taking (0.0789), so (0.0703), I`m (0.0502), last (0.0493), @_Anix_ (0.0472)","sucked (-1.3269), thinking (-0.4851), it (-0.1693), it (-0.1044), bought (-0.0619), much. (-0.0246), was (-0.0195), and (-0.0171)"
226, what causes the frustration buddy?,neutral,negative,"buddy? (0.2003), what (0.1420), causes (0.0238), the (-0.0025), frustration (-0.5624)","frustration (-0.5624), the (-0.0025), causes (0.0238), what (0.1420), buddy? (0.2003)"
231,going to bed  cant take thiss any longeerr maan. [U],negative,neutral,"maan. (0.0893), any (0.0841), bed (0.0176), [U] (0.0124), to (-0.0450), longeerr (-0.0501), going (-0.0813), thiss (-0.1296)","cant (-0.2252), take (-0.1387), thiss (-0.1296), going (-0.0813), longeerr (-0.0501), to (-0.0450), [U] (0.0124), bed (0.0176)"
233, Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,neutral,positive,"Thanks...I (0.2525), appreciate (0.1495), that. (0.0332), really (0.0304), I (0.0035), thing (0.0002), ever (-0.0080), done (-0.0095)","hardest (-0.5620), be (-0.1267), it (-0.0684), I (-0.0568), will (-0.0416), the (-0.0408), know (-0.0351), have (-0.0345)"
240,is fixin to clean the house for my mom for mother`s day,positive,neutral,"is (0.0420), day (0.0285), mother`s (0.0214), for (0.0063), mom (0.0056), fixin (0.0001), house (0.0000), for (-0.0026)","to (-0.0468), the (-0.0323), clean (-0.0198), my (-0.0123), for (-0.0026), house (0.0000), fixin (0.0001), mom (0.0056)"
244,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive,negative,"LOOKED (0.0390), AROUND (0.0316), SiSTER (0.0206), LAW (0.0125), JUST (0.0008), FOR (0.0004), TEARS (-0.0108), ALL (-0.0156)","PRETTY.. (-0.2691), PROM!! (-0.2162), SOO (-0.1508), MY (-0.0734), HER (-0.0553), iN (-0.0532), LEFT (-0.0279), SHE (-0.0244)"
250," but i do emily ahahha you scare me, so it would work",negative,neutral,"work (0.5579), it (0.3395), would (0.2780), you (0.2074), so (0.0489), emily (-0.0257), do (-0.0421), i (-0.1037)","scare (-0.5646), me, (-0.2342), ahahha (-0.1632), but (-0.1210), i (-0.1037), do (-0.0421), emily (-0.0257), so (0.0489)"
257, eagerly anticipating twitpics,neutral,positive,"anticipating (1.1423), twitpics (0.8942), eagerly (0.7785)","eagerly (0.7785), twitpics (0.8942), anticipating (1.1423)"
258,"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive,neutral,"new (0.0435), Social (0.0159), Canadamigos (0.0099), coffee (0.0096), www.canadamigos.com, (0.0096), to (0.0094), and (0.0063), Lots (0.0007)","tasks (-0.0676), to (-0.0222), of (-0.0116), wecloming (-0.0109), First, (-0.0093), site, (-0.0073), complete (-0.0033), members (-0.0027)"
259,Just wants to stay in bed all day but has to go to work instead  sux,negative,neutral,"sux (0.0823), Just (0.0691), instead (0.0511), work (0.0471), go (0.0307), to (0.0237), bed (0.0184), in (0.0161)","but (-0.0732), has (-0.0427), wants (-0.0328), to (-0.0313), day (-0.0147), all (-0.0037), to (0.0088), stay (0.0111)"
260,chillen trying to figure this thing out gettin drunk,positive,neutral,"chillen (0.2276), out (0.0559), figure (0.0020), thing (-0.0055), this (-0.0502), to (-0.0790), trying (-0.1173), gettin (-0.1318)","drunk (-0.3137), gettin (-0.1318), trying (-0.1173), to (-0.0790), this (-0.0502), thing (-0.0055), figure (0.0020), out (0.0559)"
263,I`m siiiiiickkk  I dun feel good!!,negative,neutral,"good!! (0.5575), I`m (-0.1493), siiiiiickkk (-0.3400), feel (-0.3588), I (-0.8333), dun (-1.0832)","dun (-1.0832), I (-0.8333), feel (-0.3588), siiiiiickkk (-0.3400), I`m (-0.1493), good!! (0.5575)"
272, Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,neutral,negative,"Hi (0.1218), but (0.0952), know (0.0921), leave (0.0868), don`t (0.0748), probably (0.0733), busy (0.0642), Jordan (0.0607)","tired. (-0.6042), reschedule (-0.0338), i`m (-0.0326), i (-0.0135), us (0.0101), and (0.0151), of (0.0155), u...I (0.0246)"
276,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative,neutral,"sunscreen (0.1467), revising (0.1212), had (0.0895), ive (0.0815), the (0.0723), garden (0.0712), oucccccccch (0.0667), in (0.0644)","isnt (-0.5311), thinks (-0.0970), idea (-0.0053), without (-0.0013), best (0.0314), from (0.0433), this (0.0513), 8 (0.0603)"
293,_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative,neutral,"let (0.0499), _MileyCyrus (0.0397), bird (0.0284), it (0.0211), twitter (0.0200), something (0.0180), twitter (0.0115), it (0.0092)","wont (-0.2502), keeps (-0.0859), me (-0.0581), saying (-0.0545), up. (-0.0510), coming (-0.0295), keeps (-0.0229), do (-0.0223)"
300,"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",neutral,positive,"charm (0.6005), banter (0.0548), podcast (0.0454), of (0.0393), it (0.0364), your (0.0350), has (0.0299), version (0.0234)","Isn`****? (-0.1391), book. (-0.0624), In (-0.0230), the (-0.0153), effect, (-0.0030), ) (-0.0009), IS (0.0013), added (0.0021)"
307,I want a new phone  I`ve seen too much cellphone commercials (,negative,neutral,"I`ve (-0.0817), I (-0.0977), ( (-0.1096), cellphone (-0.1417), a (-0.1454), seen (-0.1531), new (-0.1567), want (-0.1616)","much (-0.2992), too (-0.2577), commercials (-0.1788), phone (-0.1742), want (-0.1616), new (-0.1567), seen (-0.1531), a (-0.1454)"
308, we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,negative,neutral,"feelin (0.0716), with (0.0549), tunes (0.0532), while (0.0530), new (0.0489), a (0.0457), humming (0.0425), test (0.0404)","no (-0.0454), right (-0.0272), a (-0.0118), to (-0.0067), theory (-0.0037), I`ll (-0.0013), my (0.0020), that (0.0086)"
335,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,negative,neutral,"500 (0.1254), having (0.1235), before (0.0965), quick (0.0774), addressing (0.0596), wrist (0.0407), a (0.0242), eat (0.0226)","kill (-0.2005), my (-0.0937), envolopes (-0.0470), self (-0.0460), to (-0.0366), getting (-0.0207), work (-0.0052), to (-0.0036)"
338,making german apple slice  nom nom nom,positive,neutral,"apple (0.0531), slice (0.0440), german (0.0369), nom (0.0343), nom (0.0343), nom (0.0343), making (0.0257)","making (0.0257), nom (0.0343), nom (0.0343), nom (0.0343), german (0.0369), slice (0.0440), apple (0.0531)"
346,Mozzer cancelled tonight by the looks of it.,positive,negative,"it. (0.0644), looks (0.0499), of (0.0141), the (-0.0029), tonight (-0.0049), by (-0.0412), Mozzer (-0.5820), cancelled (-0.7048)","cancelled (-0.7048), Mozzer (-0.5820), by (-0.0412), tonight (-0.0049), the (-0.0029), of (0.0141), looks (0.0499), it. (0.0644)"
347,"waiting for aaron to get into town, and then leave him for work. booo",negative,neutral,"booo (0.0611), into (0.0205), for (0.0197), work. (0.0140), for (0.0129), and (0.0114), waiting (0.0102), to (0.0081)","leave (-0.0339), him (-0.0162), then (-0.0074), aaron (0.0012), town, (0.0017), get (0.0031), to (0.0081), waiting (0.0102)"
353, well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,negative,neutral,"better (0.5472), than (0.2405), with (0.2055), breakdown (0.1568), Britain`s (0.1430), well (0.1371), acts (0.1241), even (0.1198)","little (-0.4719), unfortunately! (-0.4083), talent (-0.0987), other (-0.0175), she (0.0036), very (0.0365), the (0.0589), got (0.0853)"
362,I have nothing witty to say,neutral,negative,"say (0.1269), to (0.0598), have (-0.0918), I (-0.1061), witty (-0.4810), nothing (-1.1962)","nothing (-1.1962), witty (-0.4810), I (-0.1061), have (-0.0918), to (0.0598), say (0.1269)"
371,i want to go to singapore but my mother seems not,neutral,negative,"singapore (0.0439), i (0.0037), my (-0.0003), to (-0.0069), to (-0.0154), go (-0.0225), not (-0.0448), want (-0.0950)","seems (-0.2461), mother (-0.1680), but (-0.0998), want (-0.0950), not (-0.0448), go (-0.0225), to (-0.0154), to (-0.0069)"
383,So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,neutral,positive,"tax...great. (1.3505), Even (0.1248), licenses. (0.0307), Pop (0.0092), businesses (-0.0255), So (-0.0270), pay (-0.0272), in (-0.0320)","worse (-0.3783), have (-0.1464), to (-0.1260), and (-0.1242), pay (-0.0980), we`ll (-0.0678), what (-0.0616), now (-0.0569)"
389,Just found mj mouse flats at DJs. Of course there are none left in my size,negative,neutral,"Just (0.0339), size (0.0182), mj (0.0110), DJs. (0.0094), Of (0.0075), mouse (0.0056), course (0.0044), at (0.0015)","none (-0.0763), in (-0.0276), found (-0.0235), left (-0.0205), flats (-0.0159), are (-0.0040), my (-0.0036), there (0.0000)"
392,haappy bank holiday  2 weeeeks. aah!,positive,neutral,"aah! (0.1280), haappy (0.0523), holiday (0.0491), weeeeks. (0.0255), 2 (0.0071), bank (-0.0826)","bank (-0.0826), 2 (0.0071), weeeeks. (0.0255), holiday (0.0491), haappy (0.0523), aah! (0.1280)"
393,  I thought  was against licensing stores bc it takes away from the experience they want to provide,neutral,negative,"thought (0.1245), from (0.0851), I (0.0713), licensing (0.0356), the (0.0236), stores (0.0197), was (0.0074), provide (-0.0012)","against (-0.2441), away (-0.2083), they (-0.0691), takes (-0.0661), it (-0.0290), experience (-0.0188), want (-0.0176), to (-0.0153)"
399," Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x",neutral,positive,"smile (0.6173), music (0.0620), making (-0.0035), beds, (-0.0224), x (-0.0225), day (-0.0283), will (-0.0288), long. (-0.0293)","With (-0.1581), noise (-0.1453), creating (-0.1004), Well (-0.0861), cleaning (-0.0851), cleaning (-0.0851), all (-0.0713), I (-0.0708)"
401, dear oh dear.....,negative,neutral,"dear..... (0.4382), oh (0.3644), dear (0.0030)","dear (0.0030), oh (0.3644), dear..... (0.4382)"
413, I know.  I am definitely going to try and see Up this weekend.,positive,neutral,"definitely (0.2199), try (0.1293), weekend. (0.1242), am (0.1023), to (0.0868), see (0.0469), this (0.0328), and (0.0323)","going (-0.0168), Up (0.0110), know. (0.0295), I (0.0301), I (0.0308), and (0.0323), this (0.0328), see (0.0469)"
425, Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff',neutral,positive,"Thank (0.7566), happy (0.5416), both (0.0908), and (0.0730), you! (0.0616), that. (0.0498), 'The (0.0418), Right (0.0369)","sad (-0.2535), I (-0.0318), Stuff' (-0.0172), know (-0.0053), know (-0.0009), got (0.0017), the (0.0018), am (0.0025)"
430,no internet for a week or longer,negative,neutral,"week (0.0669), or (0.0566), a (0.0053), longer (-0.0358), for (-0.0650), internet (-0.0792), no (-0.1774)","no (-0.1774), internet (-0.0792), for (-0.0650), longer (-0.0358), a (0.0053), or (0.0566), week (0.0669)"
431,Jesus Christ meadowhall could do with better air con! Too hot,negative,neutral,"better (0.5536), with (0.0843), do (0.0730), Christ (0.0465), Jesus (0.0387), could (0.0252), meadowhall (-0.0372), air (-0.0831)","hot (-0.7976), Too (-0.6176), con! (-0.5607), air (-0.0831), meadowhall (-0.0372), could (0.0252), Jesus (0.0387), Christ (0.0465)"
433, I sure she can,positive,neutral,"sure (0.2386), can (0.2007), she (0.1254), I (0.0543)","I (0.0543), she (0.1254), can (0.2007), sure (0.2386)"
435,"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist",neutral,positive,"good (0.1406), pretty (0.1374), for (0.1048), a (0.0557), job (0.0555), i (0.0536), u (0.0294), but (0.0293)","not (-0.1668), harder (-0.1030), did (-0.0551), thought! (-0.0449), an (-0.0431), this (-0.0305), artist (-0.0285), is (-0.0191)"
438, i want to gooo,positive,neutral,"to (0.0719), want (0.0312), gooo (0.0256), i (-0.0037)","i (-0.0037), gooo (0.0256), want (0.0312), to (0.0719)"
439,evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,negative,neutral,"work (0.3527), might (0.2658), it (0.0874), blogtv (0.0597), evryone (0.0460), come (0.0337), here (0.0237), and (0.0055)","spamming (-0.5306), http://www.blogtv.com/People/GinaNicole2 (-0.3183), glitching (-0.2168), is (-0.1489), much (-0.1276), were (-0.1027), and (-0.0422), so (-0.0397)"
442, if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,neutral,negative,"music (0.1486), and (0.0375), have (0.0246), SMAP (0.0135), silk (0.0041), boya (0.0018), pants (-0.0061), coats (-0.0076)","lame (-0.6526), if (-0.0825), peppers/beatles (-0.0780), you (-0.0751), sgt (-0.0706), you (-0.0478), with (-0.0458), take (-0.0372)"
445,Headed to verizon. Praying that pinkberry is going to make it.,positive,neutral,"Praying (0.1586), make (0.1145), that (0.1045), going (0.0862), verizon. (0.0660), to (0.0659), it. (0.0600), is (0.0570)","Headed (-0.0708), to (-0.0380), pinkberry (0.0200), is (0.0570), it. (0.0600), to (0.0659), verizon. (0.0660), going (0.0862)"
476,"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",negative,neutral,"juz (0.0688), go (0.0442), i (0.0437), tweets (0.0424), twitter, (0.0394), wanna (0.0358), idols (0.0331), my (0.0318)","Argh..Hmm (-0.2957), thru? (-0.1197), wont (-0.0218), but (-0.0105), the (-0.0027), PC.. (-0.0018), follow (-0.0002), away (-0.0001)"
479," I could, but that would require today not to be a duvet day. I imagine that my outfit for the Wendyhouse will be photo worthy",neutral,positive,"worthy (0.4331), day. (0.1503), will (0.1245), I (0.1017), could, (0.0598), Wendyhouse (0.0541), be (0.0505), that (0.0402)","photo (-0.1297), imagine (-0.0404), but (-0.0285), require (-0.0270), today (-0.0221), would (-0.0207), that (-0.0154), my (-0.0056)"
486, no other reason? I wonder if she loves you,positive,neutral,"loves (0.5731), other (0.1980), you (0.1226), reason? (0.0099), she (-0.0181), I (-0.1126), no (-0.1681), wonder (-0.2433)","if (-0.4024), wonder (-0.2433), no (-0.1681), I (-0.1126), she (-0.0181), reason? (0.0099), you (0.1226), other (0.1980)"
496,Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,positive,neutral,"Wish (0.4390), I (0.2520), for... (0.0811), meet (0.0740), family (0.0661), new (0.0401), to (-0.0183), the (-0.0230)","sleeeeping (-0.2367), was (-0.1912), Going (-0.0819), babysitting (-0.0813), still (-0.0579), I`m (-0.0415), the (-0.0230), to (-0.0183)"
498, I can`t belive you only have one episode to go  ****,neutral,negative,"episode (0.0866), can`t (0.0197), only (0.0112), have (-0.0183), one (-0.0496), you (-0.0544), I (-0.0759), to (-0.0819)","**** (-0.3840), belive (-0.1120), go (-0.0897), to (-0.0819), I (-0.0759), you (-0.0544), one (-0.0496), have (-0.0183)"
499, you can also watch Family Guy online. www.fancast.com  And yes I am a total shill.,neutral,negative,"yes (0.0670), can (0.0465), also (0.0384), a (0.0344), Guy (0.0327), www.fancast.com (0.0297), online. (0.0245), watch (0.0173)","shill. (-0.7222), total (-0.1506), am (-0.0443), I (-0.0204), Family (0.0063), And (0.0088), you (0.0145), watch (0.0173)"
507,wat a stressful week i jus hope everything falls into place 4me,negative,neutral,"hope (0.6791), wat (0.2007), week (0.1012), place (0.0880), everything (0.0866), falls (0.0625), into (0.0536), a (0.0055)","stressful (-0.7393), i (-0.2574), jus (-0.0664), 4me (-0.0164), a (0.0055), into (0.0536), falls (0.0625), everything (0.0866)"
509,Aww I got to see my 1st grade teacher`s last day before she retired,positive,neutral,"Aww (0.2593), before (0.1442), to (0.1276), see (0.0874), I (0.0853), my (0.0779), she (0.0540), got (0.0273)","retired (-0.1963), last (-0.0831), teacher`s (-0.0827), grade (-0.0258), 1st (-0.0049), day (0.0100), got (0.0273), she (0.0540)"
